Full Name,E-mail,Phone #,Date,Ad ID,Opted In
Heather Mcfarland,HEATHER.MCFARLAND1114@YAHOO.COM,5168690937,1783376336,camp_22,True
Donald Delacruz,DONALD.DELACRUZ38732@HOTMAIL.COM,801-880-9388,2026-05-03T14:19:00Z,camp_33,yes
Morgan Wright,morgan.wright3780 at gmail.com,3033162232,20-Apr-2026,camp_26,yes
Kelsey Robles,kelsey.robles45541@yahooo.com,+1 (518) 617-4170,05/10/2026 07:19 AM,camp_39,I agree
Debra Glenn,debra.glenn69372@yahoo.com,+1 (815) 413-7647,05/27/2026 01:19 PM,camp_40,TRUE
Daryl Smith,,505-983-0516,31-May-2026,camp_32,False
Raymond Brewer 🔥,raymond.brewer21022,816-737-1246,05/13/2026 10:18 PM,camp_9,Y
Maureen Hurley,maureen.hurley28125@yahoo.com,1-215-926-9884,2026-05-15T15:18:58Z,camp_17,Yes
Nicole Coleman,,412-858-0194,2026-05-07T20:19:00Z,camp_33,True
Elizabeth Keller,ELIZABETH.KELLER20063@YAHOO.COM,+1 (908) 347-9651,2026-06-30T10:18:58Z,camp_14,I do not agree
Courtney Young,asdf@asdf,8133535187,05/25/2026 01:19 PM,camp_22,yes
Andrew Johnson,andrew.johnson47724@gmail.com,7025538894,1779301140,camp_38,Y
Christina Green,CHRISTINA.GREEN67977@HOTMAIL.COM,7047360211,17-Jul-2026,camp_13,I do not agree
Candice Hale,test75105@test.com,N/A,2026-06-25T22:19:02Z,camp_9,TRUE
Charlotte Steele,test1180@test.com,1-319-941-6899,22-Apr-2026,camp_32,Y
Angela Nichols,,000-000-0000,2026-06-05T22:18:57Z,camp_15,yes
Tristan Mccarthy,tristan.mccarthy70233@gmial.com,9094344560,07/10/2026 11:19 AM,camp_36,I do not agree
Jason Cook,JASON.COOK10508@GMAIL.COM,9075414028,05/27/2026 12:18 AM,camp_11,False
Steven Leblanc,steven.leblanc78121,+1 (619) 847-3405,2026-05-02T22:19:03Z,camp_34,yes
Brenda Liu,asdf@asdf,N/A,1782760740,camp_21,Y
Stephen Goodman,stephen.goodman3860@gmail.com,N/A,2026-06-06T09:18:57Z,camp_32,TRUE
Pamela White,pamela.white62580@gmail.com,1-416-807-6467,2026-07-15T09:19:01Z,camp_38,I agree
Karen Benjamin,asdf@asdf,(212) 670-8466,2026-06-21T18:18:59Z,camp_8,no
Christopher Cohen,test11719@test.com,703-558-4496,05/19/2026 09:18 AM,camp_6,No
Gary Nelson,GARY.NELSON34361@HOTMAIL.COM,616-645-7109,1780219139,camp_31,
Christopher Howard,CHRISTOPHER.HOWARD17025@YAHOO.COM,12345,22-May-2026,camp_6,yes
Jacob Allen,test13243@test.com,2064562329,2026-07-13T09:18:57Z,camp_20,no
Robert Hughes,robert.hughes71157@yahoo.com,216-947-6427,2026-06-02T14:19:02Z,camp_4,yes
Paul Ramsey,paul.ramsey16531 at hotmail.com,12345,1777425537,camp_31,Yes
Eric Patel,,(909) 497-6631,2026-04-21T21:19:01Z,camp_37,yes
Jason Scott,asdf@asdf,000-000-0000,05/27/2026 10:18 PM,camp_24,Y
Brenda Smith,brenda.smith69087,12345,12-Jun-2026,camp_11,I agree
,GEORGE.MEDINA45132@HOTMAIL.COM,1-715-323-6677,16-Jun-2026,camp_1,yes
Jesus Edwards,JESUS.EDWARDS9232@GMAIL.COM,N/A,1779578337,camp_26,Yes
Angela Kirk,asdf@asdf,805-491-4334,2026-06-10T00:18:58Z,camp_4,Yes
Jacob Byrd,test78207@test.com,,2026-04-25T00:19:03Z,camp_8,TRUE
Judy Reed,judy.reed75173@yahoo.com,6188664230,2026-05-26T18:19:02Z,camp_1,True
Kathryn Martinez,kathryn.martinez15347 at hotmail.com,1-908-406-7436,06/03/2026 08:18 PM,camp_15,Y
Jennifer Barton,jennifer.barton24481 at hotmail.com,516-501-6863,04/29/2026 12:18 AM,camp_31,Yes
Jennifer Stout,JENNIFER.STOUT47943@HOTMAIL.COM,8154969436,04/21/2026 05:19 AM,camp_6,I agree
DANA CASEY,dana.casey72432@yahoo.com,413-410-2519,07/06/2026 02:19 AM,camp_35,I do not agree
TABITHA CONWAY,tabitha.conway55134 at gmail.com,2179552457,05/28/2026 07:19 PM,camp_25,True
JEFFERY JEFFERSON,jeffery.jefferson16933@gmail.com,+1 (407) 627-7923,06/21/2026 07:18 AM,camp_16,Yes
Walter Hurst,walter.hurst19252@gmail.com,N/A,04/29/2026 03:18 AM,camp_14,yes
Steven Rowe 💯,STEVEN.ROWE52021@GMAIL.COM,803-967-5169,06/02/2026 07:19 AM,camp_18,True
Christina Nicholson,christina.nicholson24844@hotmail.com,1-415-237-9461,2026-06-25T02:18:58Z,camp_21,Yes
Robert Green,robert.green79163@gmail.com,12345,04/28/2026 04:19 AM,camp_15,No
Angela Smith,angela.smith63964@gmail.com,+1 (502) 253-2590,01-May-2026,camp_26,I agree
STEVEN LOWE,STEVEN.LOWE17955@YAHOO.COM,416-236-0847,30-May-2026,camp_10,True
DANIEL DONOVAN,DANIEL.DONOVAN4744@HOTMAIL.COM,+1 (617) 712-1426,1781201937,camp_33,I do not agree
Joseph Mckinney,joseph.mckinney45887 at gmail.com,205-681-4121,26-May-2026,camp_7,TRUE
,,,,,
Steven Long,STEVEN.LONG66594@HOTMAIL.COM,315-793-9272,06/01/2026 06:19 PM,camp_31,True
Diane Daniels,DIANE.DANIELS76920@YAHOO.COM,1-718-918-9619,1778383143,camp_37,Yes
,BRYAN.TRAN63778@GMAIL.COM,702-972-4934,1779941942,camp_11,Yes
Gregory Fry,test5515@test.com,2138310045,2026-05-16T10:18:57Z,camp_14,Yes
Brian Powell,brian.powell42546@gmial.com,+1 (801) 733-1773,06/09/2026 12:19 PM,camp_12,Yes
Michele Ellis,michele.ellis58241@hotmail.com,+1 (906) 641-8743,06/15/2026 08:19 AM,camp_26,Yes
,,,,,
ALEX RICHARD,alex.richard29795@hotmail.com,12345,04/27/2026 02:18 AM,camp_27,I agree
Larry Moore,larry.moore41000 at gmail.com,2059201708,20-Jun-2026,camp_37,
Lori Morales,test51571@test.com,+1 (408) 579-4426,1777756741,camp_24,True
Daniel Jenkins,asdf@asdf,(703) 410-2187,07/08/2026 09:19 AM,camp_12,N
Elizabeth Deleon,asdf@asdf,000-000-0000,05-Jun-2026,camp_17,TRUE
Teresa Saunders,teresa.saunders65358@hotmail.com,518-868-4991,2026-04-19T19:19:02Z,camp_38,I agree
Michele Brown,michele.brown44885@gmail.com,303-943-3061,07/17/2026 08:19 PM,camp_29,TRUE
Brian Blake,,000-000-0000,1778591938,camp_34,TRUE
Jonathan Delgado,jonathan.delgado6173@yahoo.com,+1 (214) 402-1246,2026-06-26T10:18:57Z,camp_30,Y
Emily Livingston,emily.livingston16301@hotmail.com,(719) 838-5351,2026-05-02T05:18:57Z,camp_35,Yes
Jeffrey Reese,jeffrey.reese75214 at yahoo.com,6075774017,11-Jul-2026,camp_40,I agree
Jacqueline Kelley,JACQUELINE.KELLEY3087@GMAIL.COM,2183497503,05/04/2026 12:18 PM,camp_30,Y
Zachary Lewis,zachary.lewis39259@gmail.com,978.9858,08-Jul-2026,camp_21,TRUE
Bryan Ryan,,+1 (512) 210-9511,09-May-2026,camp_30,Yes
Patricia Walsh,test75454@test.com,000-000-0000,06/28/2026 10:19 AM,camp_12,True
David Bishop,david.bishop31524@hotmail.com,(814) 962-5488,1781907539,camp_4,I agree
Roger Hughes,,901-297-7460,06/28/2026 09:19 AM,camp_6,Yes
Bernard Lawson,bernard.lawson66401,529.0071,24-Apr-2026,camp_20,
Stephanie Miller,asdf@asdf,1-617-940-8395,11-Jun-2026,camp_13,TRUE
Amber Ruiz,AMBER.RUIZ28765@GMAIL.COM,(619) 885-7833,09-Jun-2026,camp_25,yes
Patrick Robinson,test73428@test.com,(281) 356-4219,15-Jul-2026,camp_13,False
Samuel King,samuel.king5385@yahoo.com,906-305-4121,1783513137,camp_30,N
James Allen,JAMES.ALLEN46936@GMAIL.COM,N/A,2026-04-23T12:19:00Z,camp_17,True
Daniel Vega,daniel.vega39310@hotmail.com,(612) 454-6761,04/29/2026 08:19 PM,camp_21,yes
William Caldwell,,295.2148,1777637937,camp_32,Y
Katelyn Faulkner,katelyn.faulkner46786,617-226-3591,28-May-2026,camp_12,FALSE
Colleen Bonilla,colleen.bonilla23277@yahooo.com,(217) 599-8399,1778915938,camp_31,I agree
Barbara Rogers,barbara.rogers46463@hotmail.com,608-578-5641,19-Apr-2026,camp_32,no
Rachel Williams,rachel.williams20483@hotmail.com,280.3071,26-Apr-2026,camp_18,no
Kristin Harris,kristin.harris37703@yahoo.com,(616) 620-8596,18-May-2026,camp_13,Y
Catherine Reynolds,catherine.reynolds59327@hotmail.com,1-806-922-0881,2026-04-29T13:19:01Z,camp_25,Yes
,jason.hunt8617@gmial.com,907-735-2594,1777411137,camp_32,no
Gregory Shea,gregory.shea37224,1-719-958-4804,15-Jun-2026,camp_19,Yes
Frank Silva,frank.silva78056@hotmail.com,641.4313,07/17/2026 08:19 PM,camp_14,True
Chelsea Snyder,chelsea.snyder39786@gmail.com,000-000-0000,07-Jul-2026,camp_5,yes
Karen Estrada,karen.estrada34425,9039000002,07/18/2026 10:18 PM,camp_1,
Samantha Norris,samantha.norris78327@yahooo.com,1-803-529-7827,03-Jul-2026,camp_30,I agree
Bobby Chen,BOBBY.CHEN29472@GMAIL.COM,+1 (808) 846-3344,07-Jun-2026,camp_15,True
Richard Carter,richard.carter4375@hotmail.com,+1 (719) 559-5457,06/21/2026 05:18 AM,camp_20,I agree
Micheal Kelly,micheal.kelly48903@gmail.com,806-372-1953,07/16/2026 08:19 PM,camp_6,Yes
Rachel Sullivan,asdf@asdf,747.8801,2026-06-26T03:18:59Z,camp_33,No
Kevin Owen,,7139857186,1776712741,camp_5,FALSE
Elizabeth Ball,ELIZABETH.BALL31420 at HOTMAIL.COM,361.3229,2026-07-16T14:18:59Z,camp_31,Yes
Laurie Alvarez,laurie.alvarez70396@yahoo.com,(718) 279-0123,2026-05-07T19:19:02Z,camp_39,
Ryan Strong,,802-563-4987,2026-06-18T05:19:00Z,camp_10,Y
Kristy Rodriguez,kristy.rodriguez17552@yahoo.com,(201) 515-9976,05/15/2026 05:18 AM,camp_1,yes
Rachel Moore,rachel.moore78925@gmail.com,12345,1782433143,camp_36,
Krystal Woods,,000-000-0000,24-Jun-2026,camp_23,Yes
Aaron Lee,test27302@test.com,1-703-600-8414,1783091938,camp_27,yes
Elizabeth Simon,test33105@test.com,N/A,2026-06-15T06:18:59Z,camp_7,Y
Sarah Bates,sarah.bates11853,,05-Jun-2026,camp_9,No
Lisa Francis,,+1 (408) 464-8975,06/17/2026 04:18 PM,camp_34,yes
Robert Cooper,ROBERT.COOPER2192@HOTMAIL.COM,+1 (810) 729-8135,2026-06-19T08:18:56Z,camp_7,Y
SETH STEVENS,seth.stevens65503 at yahoo.com,(908) 322-9795,05/17/2026 02:19 AM,camp_40,FALSE
Paula Barnes,paula.barnes43600@hotmail.com,896.0899,06/14/2026 05:19 AM,camp_21,Y
Anthony Gonzalez,anthony.gonzalez9274 at yahoo.com,(812) 371-3455,06/20/2026 05:18 PM,camp_3,TRUE
Jonathan Greer,jonathan.greer69203@hotmail.com,1-515-647-8801,1783477142,camp_23,True
Pamela Walters,PAMELA.WALTERS70705@YAHOO.COM,1-216-678-7789,10-May-2026,camp_40,I agree
Kimberly Jones,kimberly.jones1286@hotmail.com,1-912-840-4505,29-Apr-2026,camp_10,FALSE
Michael Lynn,michael.lynn14551,12345,1779286737,camp_27,Yes
Brian Patterson,,6157250014,28-Jun-2026,camp_32,Y
Robin George,ROBIN.GEORGE76114@YAHOO.COM,+1 (708) 373-8784,1778959142,camp_37,I do not agree
Miranda Dixon,miranda.dixon5910 at gmail.com,8156505389,1782058737,camp_25,I agree
Daniel Bailey,DANIEL.BAILEY79710@HOTMAIL.COM,3012950763,26-Apr-2026,camp_7,True
Brandon Hammond,brandon.hammond38734@yahoo.com,(716) 830-0356,2026-05-08T16:19:00Z,camp_32,Yes
John Porter,john.porter37601@gmial.com,1-502-206-2633,05/06/2026 08:19 PM,camp_34,N
Maria Potter,maria.potter27035@hotmail.com,(803) 272-7397,10-Jul-2026,camp_40,I agree
Jason Ortiz,,1-505-295-5084,06/14/2026 07:19 AM,camp_26,yes
Alicia Love,alicia.love64343@gmail.com,12345,03-Jun-2026,camp_15,Yes
Jessica Price,,6083675993,16-Jun-2026,camp_1,I agree
Mary Compton,test56782@test.com,2147420125,2026-06-30T02:19:01Z,camp_17,TRUE
Nancy Rogers,test30555@test.com,12345,1778077139,camp_26,yes
Rachel Martinez,rachel.martinez59534@yahoo.com,N/A,25-Apr-2026,camp_10,Yes
Kimberly Orr,kimberly.orr45667 at yahoo.com,+1 (801) 546-5730,05/15/2026 09:19 PM,camp_1,True
,rebekah.palmer40608@yahoo.com,1-605-696-3076,22-Jun-2026,camp_36,Yes
MARK STEWART,asdf@asdf,N/A,06/28/2026 04:18 AM,camp_26,Yes
Kari Johnson,kari.johnson27943@yahoo.com,(718) 442-9433,2026-06-15T22:18:58Z,camp_19,
Patrick Mitchell,PATRICK.MITCHELL1609@HOTMAIL.COM,8166490379,25-May-2026,camp_27,False
Melissa Wilson,melissa.wilson16389@gmail.com,12345,2026-06-12T11:18:57Z,camp_27,Yes
Danny Bell,DANNY.BELL70794@YAHOO.COM,1-504-437-5837,31-May-2026,camp_21,True
Norma Dorsey,NORMA.DORSEY45644@GMAIL.COM,518-959-0252,1781446740,camp_32,N
Matthew Farley,matthew.farley78807 at hotmail.com,(415) 451-4990,2026-05-03T13:19:03Z,camp_20,yes
Dale Martinez,asdf@asdf,810-693-8000,2026-04-26T15:19:01Z,camp_12,Yes
YOLANDA MARTIN,yolanda.martin78781,1-212-659-1608,01-Jun-2026,camp_6,Y
Amy Ross,AMY.ROSS25341@HOTMAIL.COM,(503) 254-9552,2026-06-22T02:18:58Z,camp_17,yes
Michael Kline,MICHAEL.KLINE8860@HOTMAIL.COM,12345,1780643937,camp_13,False
Tiffany Moss,,+1 (315) 542-0414,2026-04-30T12:18:57Z,camp_1,yes
Nicole Watson,nicole.watson53380@gmail.com,1-810-791-8289,04-Jul-2026,camp_25,Yes
Joseph Morton,joseph.morton216@hotmail.com,12345,04/19/2026 12:18 AM,camp_11,
Amber Berry,asdf@asdf,+1 (609) 375-7885,05-Jul-2026,camp_24,True
Vincent Ellis,,+1 (281) 761-7178,13-Jun-2026,camp_31,True
Rodney Parsons,RODNEY.PARSONS529@GMAIL.COM,1-610-794-9571,02-Jun-2026,camp_37,no
Jeffrey Anderson,jeffrey.anderson16524 at hotmail.com,(717) 263-8750,18-May-2026,camp_20,Yes
Erin Robinson,erin.robinson40752@hotmail.com,+1 (305) 225-0075,21-Jun-2026,camp_29,Y
Corey Gomez,corey.gomez71463@yahoo.com,361.3234,1782609542,camp_27,
Taylor Peck,taylor.peck12600@hotmail.com,752.2502,1778923137,camp_24,yes
Anthony Blackwell,anthony.blackwell4136@gmail.com,571.7719,05/08/2026 11:18 AM,camp_34,TRUE
,MICHAEL.CLARKE57886@HOTMAIL.COM,2064374508,07/06/2026 09:19 PM,camp_32,Y
Amy Stevenson,amy.stevenson43553,8157774595,05-Jul-2026,camp_2,N
Christine Roth,CHRISTINE.ROTH4795@GMAIL.COM,4065956804,07/02/2026 02:18 PM,camp_12,I agree
Christina Pierce,,(815) 929-3435,20-Apr-2026,camp_38,Y
Elizabeth Pineda,elizabeth.pineda46958 at gmail.com,1-214-320-6334,14-Jul-2026,camp_3,Y
Sean Morton,SEAN.MORTON2016@YAHOO.COM,4168871491,04/21/2026 06:18 PM,camp_8,Y
Alicia Deleon,alicia.deleon68818@hotmail.com,409-624-2108,04-Jun-2026,camp_36,yes
Gregory Baldwin,gregory.baldwin79304 at hotmail.com,12345,1783822743,camp_13,False
Thomas Roberts,thomas.roberts53759@yahoo.com,000-000-0000,2026-06-20T05:19:01Z,camp_2,Y
Donald Myers,donald.myers29752@hotmail.com,1-217-691-6326,2026-06-23T10:18:59Z,camp_13,Yes
Amy Meyers,,N/A,06/06/2026 10:18 PM,camp_3,I agree
Lindsay Day,lindsay.day41727@hotmail.com,1-714-861-5994,07/04/2026 02:19 AM,camp_34,I do not agree
Austin Gallegos,,+1 (901) 384-9460,23-Jun-2026,camp_7,Yes
Paul Hunter,PAUL.HUNTER47543@HOTMAIL.COM,717-277-2143,1777202340,camp_12,TRUE
,anna.davis50466@gmail.com,718-640-0136,11-May-2026,camp_26,Yes
Kellie Cooper,KELLIE.COOPER10453@HOTMAIL.COM,1-901-388-2268,24-Apr-2026,camp_39,yes
Aaron Williams,aaron.williams5969@gmail.com,+1 (910) 601-4553,06/09/2026 12:18 PM,camp_11,yes
Benjamin Mathis,test61872@test.com,(612) 711-5323,2026-04-23T17:19:01Z,camp_39,Yes
Jacob Young,JACOB.YOUNG13845,000-000-0000,05/15/2026 08:18 AM,camp_21,True
,deborah.hale19801@hotmail.com,N/A,1777630738,camp_4,I agree
Matthew Fisher,matthew.fisher30538@yahoo.com,4105097233,02-Jul-2026,camp_15,I do not agree
Katherine Hooper,katherine.hooper15965@hotmail.com,8067329999,2026-05-29T20:18:57Z,camp_34,Yes
KELLY RODRIGUEZ,kelly.rodriguez25732@yahoo.com,(619) 454-2158,05/09/2026 02:18 PM,camp_19,No
Robert Howard,ROBERT.HOWARD27975@GMAIL.COM,+1 (605) 836-4560,05/19/2026 09:18 PM,camp_25,N
Bryan Kerr,bryan.kerr66427@yahoo.com,(617) 832-6061,1782062342,camp_26,True
Adam Anderson,ADAM.ANDERSON10127@GMAIL.COM,+1 (512) 488-1736,2026-06-24T09:18:57Z,camp_7,Y
Jeffrey Everett,JEFFREY.EVERETT27119@HOTMAIL.COM,(615) 890-6378,2026-04-29T20:18:58Z,camp_36,Y
Sarah Howe,sarah.howe19975@gmail.com,1-808-390-9689,1777198738,camp_13,Y
Rhonda Richards,RHONDA.RICHARDS53917@YAHOO.COM,1-303-453-7222,05/15/2026 07:19 AM,camp_17,False
,BRANDON.ROBINSON28146@HOTMAIL.COM,2168331856,1780111138,camp_8,
Connie Mosley,connie.mosley47901@gmail.com,N/A,1778995140,camp_30,Yes
James Patterson,james.patterson50347@gmail.com,(801) 572-5976,2026-07-06T21:19:01Z,camp_26,Yes
Joseph Boyd ✨,joseph.boyd75247@yahoo.com,12345,1779700742,camp_7,I do not agree
MELANIE FRAZIER,melanie.frazier35284@hotmail.com,1-410-964-0651,2026-06-01T12:18:59Z,camp_40,True
Jason May,jason.may71343 at gmail.com,407-820-0333,2026-06-10T20:19:02Z,camp_9,No
Hannah Sanchez,HANNAH.SANCHEZ4172@HOTMAIL.COM,(405) 999-8471,26-Apr-2026,camp_7,FALSE
,asdf@asdf,218-539-7105,06/06/2026 10:18 AM,camp_25,yes
Nathaniel Rodriguez,NATHANIEL.RODRIGUEZ78470@GMAIL.COM,+1 (912) 226-2683,2026-05-18T04:19:03Z,camp_15,TRUE
Peter Peterson,peter.peterson43212 at yahoo.com,000-000-0000,2026-07-11T14:19:00Z,camp_23,N
Stephanie Davis,STEPHANIE.DAVIS54521@YAHOO.COM,+1 (812) 255-7664,1778134741,camp_15,yes
Betty Gonzalez,betty.gonzalez8357,N/A,06/06/2026 01:18 PM,camp_27,I do not agree
Rebecca Sheppard,rebecca.sheppard32888,12345,1782134339,camp_16,I agree
